1803;1854;51
1803;1862;59
1803;1863;60
1803;1866;63
1803;1868;65
1803;1869;66
1803;1870;67
1803;1871;68
1803;1873;70
1803;1886;83
1803;1888;85
1804;1829;25
1804;1832;28
1804;1836;32
1804;1837;33
1804;1838;34
1804;1846;42
1804;1847;43
1804;1847;43
1804;1847;43
1804;1849;45
1804;1850;46
1804;1852;48
1804;1853;49
1804;1858;54
1804;1872;68
1804;1874;70
1804;1876;72
1804;1877;73
1804;1878;74
1804;1878;74
1804;1883;79
1805;1806;1
1805;1830;25
1805;1835;30
1805;1837;32
1805;1839;34
1805;1840;35
1805;1842;37
1805;1844;39
1805;1847;42
1805;1869;64
1805;1874;69
1805;1875;70
1805;1878;73
1805;1885;80
1805;1889;84
1805;1890;85
1805;1890;85
1805;1892;87
1805;1893;88
1806;1836;30
1806;1837;31
1806;1837;31
1806;1838;32
1806;1841;35
1806;1842;36
1806;1844;38
1806;1846;40
1806;1854;48
1806;1856;50
1806;1861;55
1806;1861;55
1806;1862;56
1806;1865;59
1806;1871;65
1806;1876;70
1806;1876;70
1806;1878;72
1806;1882;76
1806;1884;78
1806;1890;84
1806;1890;84
1807;1832;25
1807;1836;29
1807;1836;29
1807;1836;29
1807;1837;30
1807;1850;43
1807;1852;45
1807;1853;46
1807;1854;47
1807;1872;65
1807;1876;69
1807;1882;75
1807;1887;80
1807;1888;81
1807;1889;82
1807;1891;84
1808;1827;19
1808;1828;20
1808;1831;23
1808;1832;24
1808;1833;25
1808;1836;28
1808;1838;30
1808;1838;30
1808;1859;51
1808;1869;61
1808;1872;64
1808;1873;65
1808;1875;67
1809;1810;1
1809;1811;2
1809;1825;16
1809;1826;17
1809;1829;20
1809;1835;26
1809;1840;31
1809;1841;32
1809;1841;32
1809;1843;34
1809;1844;35
1809;1847;38
1809;1863;54
1809;1863;54
1809;1865;56
1809;1874;65
1809;1882;73
1809;1886;77
1809;1886;77
1809;1892;83
1810;1836;26
1810;1838;28
1810;1840;30
1810;1843;33
1810;1847;37
1810;1849;39
1810;1850;40
1810;1857;47
1810;1857;47
1810;1871;61
1810;1887;77
1810;1889;79
1811;1815;4
1811;1827;16
1811;1832;21
1811;1834;23
1811;1834;23
1811;1834;23
1811;1836;25
1811;1839;28
1811;1839;28
1811;1840;29
1811;1843;32
1811;1849;38
1811;1851;40
1811;1871;60
1811;1872;61
1811;1875;64
1811;1883;72
1811;1886;75
1812;1833;21
1812;1836;24
1812;1841;29
1812;1842;30
1812;1844;32
1812;1847;35
1812;1872;60
1812;1877;65
1812;1881;69
1813;1837;24
1813;1839;26
1813;1840;27
1813;1841;28
1813;1842;29
1813;1844;31
1813;1847;34
1813;1849;36
1813;1851;38
1813;1857;44
1813;1866;53
1813;1873;60
1813;1877;64
1813;1880;67
1814;1815;1
1814;1833;19
1814;1837;23
1814;1838;24
1814;1841;27
1814;1845;31
1814;1845;31
1814;1847;33
1814;1853;39
1814;1855;41
1814;1870;56
1814;1872;58
1814;1875;61
1814;1881;67
1814;1882;68
1814;1888;74
1815;1829;14
1815;1833;18
1815;1834;19
1815;1835;20
1815;1841;26
1815;1844;29
1815;1846;31
1815;1846;31
1815;1852;37
1815;1863;48
1815;1866;51
1815;1868;53
1815;1874;59
1815;1880;65
1815;1883;68
1815;1885;70
1815;1891;76
1815;1895;80
1816;1817;1
1816;1817;1
1816;1833;17
1816;1841;25
1816;1842;26
1816;1846;30
1816;1847;31
1816;1850;34
1816;1851;35
1816;1872;56
1816;1874;58
1816;1890;74
1817;1830;13
1817;1836;19
1817;1857;40
1817;1865;48
1817;1884;67
1817;1886;69
1817;1889;72
1817;1889;72
1817;1894;77
1817;1900;83
1817;1907;90
1818;1819;1
1818;1823;5
1818;1829;11
1818;1835;17
1818;1836;18
1818;1839;21
1818;1840;22
1818;1842;24
1818;1842;24
1818;1845;27
1818;1852;34
1818;1856;38
1818;1871;53
1818;1881;63
1818;1886;68
1819;1823;4
1819;1834;15
1819;1841;22
1819;1843;24
1819;1844;25
1819;1845;26
1819;1847;28
1819;1850;31
1819;1850;31
1819;1851;32
1819;1851;32
1819;1856;37
1819;1877;58
1819;1877;58
1820;1836;16
1820;1839;19
1820;1841;21
1820;1843;23
1820;1844;24
1820;1845;25
1820;1848;28
1820;1850;30
1820;1853;33
1820;1859;39
1820;1878;58
1820;1883;63
1820;1884;64
1820;1885;65
1820;1897;77
1820;1897;77
1820;1899;79
1821;1823;2
1821;1831;10
1821;1838;17
1821;1838;17
1821;1840;19
1821;1842;21
1821;1845;24
1821;1848;27
1821;1848;27
1821;1849;28
1821;1849;28
1821;1858;37
1821;1861;40
1821;1871;50
1821;1879;58
1821;1881;60
1822;1828;6
1822;1833;11
1822;1835;13
1822;1837;15
1822;1839;17
1822;1840;18
1822;1841;19
1822;1841;19
1822;1842;20
1822;1847;25
1822;1848;26
1822;1852;30
1822;1852;30
1822;1859;37
1822;1865;43
1822;1867;45
1822;1885;63
1822;1890;68
1822;1906;84
1822;1913;91
1823;1833;10
1823;1834;11
1823;1840;17
1823;1840;17
1823;1841;18
1823;1856;33
1823;1862;39
1823;1873;50
1823;1875;52
1823;1884;61
1823;1899;76
1823;1900;77
1824;1830;6
1824;1836;12
1824;1846;22
1824;1847;23
1824;1848;24
1824;1854;30
1824;1859;35
1824;1863;39
1824;1875;51
